Tabela,Data,Kurs średni,Zmiana
6/A/NBP/2020,2020-01-10,5.002,0.37
5/A/NBP/2020,2020-01-09,4.9837,-0.36
4/A/NBP/2020,2020-01-08,5.0018,0.28
3/A/NBP/2020,2020-01-07,4.9879,-0.11
2/A/NBP/2020,2020-01-03,4.9934,-0.55
1/A/NBP/2020,2020-01-02,5.0211,0.48
251/A/NBP/2019,2019-12-31,4.9971,0.18
250/A/NBP/2019,2019-12-30,4.9883,-0.27
249/A/NBP/2019,2019-12-27,5.0019,0.51
248/A/NBP/2019,2019-12-24,4.9765,-0.37
247/A/NBP/2019,2019-12-23,4.9952,-0.01
246/A/NBP/2019,2019-12-20,4.9958,-0.42
245/A/NBP/2019,2019-12-19,5.017,-0.11
244/A/NBP/2019,2019-12-18,5.0226,-0.37
243/A/NBP/2019,2019-12-17,5.0414,-1.31
242/A/NBP/2019,2019-12-16,5.1083,-0.41
241/A/NBP/2019,2019-12-13,5.1292,1.06
240/A/NBP/2019,2019-12-12,5.0756,-0.08
239/A/NBP/2019,2019-12-11,5.0798,-0.29
238/A/NBP/2019,2019-12-10,5.0945,0.06
237/A/NBP/2019,2019-12-09,5.0915,0.77
236/A/NBP/2019,2019-12-06,5.0527,-0.24
235/A/NBP/2019,2019-12-05,5.0651,0.4
234/A/NBP/2019,2019-12-04,5.045,0.36
233/A/NBP/2019,2019-12-03,5.027,-0.28
232/A/NBP/2019,2019-12-02,5.0411,-0.46
231/A/NBP/2019,2019-11-29,5.0645,-0.26
230/A/NBP/2019,2019-11-28,5.0775,0.82
229/A/NBP/2019,2019-11-27,5.0362,0.27
228/A/NBP/2019,2019-11-26,5.0224,-0.11
227/A/NBP/2019,2019-11-25,5.0281,0.53
226/A/NBP/2019,2019-11-22,5.0017,-0.25
225/A/NBP/2019,2019-11-21,5.0144,0.13
224/A/NBP/2019,2019-11-20,5.0081,-0.31
223/A/NBP/2019,2019-11-19,5.0238,-0.04
222/A/NBP/2019,2019-11-18,5.0257,0.49
221/A/NBP/2019,2019-11-15,5.0014,-0.23
220/A/NBP/2019,2019-11-14,5.013,0.28
219/A/NBP/2019,2019-11-13,4.9991,0.42
218/A/NBP/2019,2019-11-12,4.9782,0.62
217/A/NBP/2019,2019-11-08,4.9476,-0.15
216/A/NBP/2019,2019-11-07,4.9548,-0.12
215/A/NBP/2019,2019-11-06,4.9607,0.42
214/A/NBP/2019,2019-11-05,4.9399,0.35
213/A/NBP/2019,2019-11-04,4.9229,-0.36
212/A/NBP/2019,2019-10-31,4.9405,-0.14
211/A/NBP/2019,2019-10-30,4.9472,-0.03
210/A/NBP/2019,2019-10-29,4.9487,-0.03
209/A/NBP/2019,2019-10-28,4.9504,0.29
208/A/NBP/2019,2019-10-25,4.9362,-0.38
207/A/NBP/2019,2019-10-24,4.9551,0.21
206/A/NBP/2019,2019-10-23,4.9449,-0.51
205/A/NBP/2019,2019-10-22,4.97,-0.02
204/A/NBP/2019,2019-10-21,4.9709,0.08
203/A/NBP/2019,2019-10-18,4.9671,0.43
202/A/NBP/2019,2019-10-17,4.9456,-0.31
201/A/NBP/2019,2019-10-16,4.961,0.67
200/A/NBP/2019,2019-10-15,4.9282,0.58
199/A/NBP/2019,2019-10-14,4.8998,0.14
198/A/NBP/2019,2019-10-11,4.8929,2
197/A/NBP/2019,2019-10-10,4.7971,-0.49
196/A/NBP/2019,2019-10-09,4.8208,-0.31
195/A/NBP/2019,2019-10-08,4.8359,-0.44
194/A/NBP/2019,2019-10-07,4.8574,-0.17
193/A/NBP/2019,2019-10-04,4.8659,-0.35
192/A/NBP/2019,2019-10-03,4.8832,-0.55
191/A/NBP/2019,2019-10-02,4.9101,-0.45
190/A/NBP/2019,2019-10-01,4.9322,0.02
189/A/NBP/2019,2019-09-30,4.9313,-0.04
188/A/NBP/2019,2019-09-27,4.9332,-0.19
187/A/NBP/2019,2019-09-26,4.9426,-0.25
186/A/NBP/2019,2019-09-25,4.9552,0.09
185/A/NBP/2019,2019-09-24,4.9509,-0.43
184/A/NBP/2019,2019-09-23,4.9721,0.9
183/A/NBP/2019,2019-09-20,4.9277,0.44
182/A/NBP/2019,2019-09-19,4.9062,0.22
181/A/NBP/2019,2019-09-18,4.8953,0.15
180/A/NBP/2019,2019-09-17,4.8882,0.56
179/A/NBP/2019,2019-09-16,4.8609,-0.2
178/A/NBP/2019,2019-09-13,4.8705,0.43
177/A/NBP/2019,2019-09-12,4.8497,-0.21
176/A/NBP/2019,2019-09-11,4.8601,0.4
175/A/NBP/2019,2019-09-10,4.8406,0
174/A/NBP/2019,2019-09-09,4.8405,0.12
173/A/NBP/2019,2019-09-06,4.8348,0.21
172/A/NBP/2019,2019-09-05,4.8248,0.73
171/A/NBP/2019,2019-09-04,4.7897,0.15
170/A/NBP/2019,2019-09-03,4.7823,-0.62
169/A/NBP/2019,2019-09-02,4.8123,-0.45
168/A/NBP/2019,2019-08-30,4.834,0.13
167/A/NBP/2019,2019-08-29,4.8277,0.13
166/A/NBP/2019,2019-08-28,4.8213,0.09
165/A/NBP/2019,2019-08-27,4.8171,0.05
164/A/NBP/2019,2019-08-26,4.8149,0.21
163/A/NBP/2019,2019-08-23,4.805,0.56
162/A/NBP/2019,2019-08-22,4.7784,0.34
161/A/NBP/2019,2019-08-21,4.7623,-0.07
160/A/NBP/2019,2019-08-20,4.7654,0.26
159/A/NBP/2019,2019-08-19,4.7531,-0.38
158/A/NBP/2019,2019-08-16,4.7713,1.68
157/A/NBP/2019,2019-08-14,4.6926,0.45
156/A/NBP/2019,2019-08-13,4.6714,0.02
155/A/NBP/2019,2019-08-12,4.6704,-0.17
154/A/NBP/2019,2019-08-09,4.6785,-0.15
153/A/NBP/2019,2019-08-08,4.6856,-0.04
152/A/NBP/2019,2019-08-07,4.6874,-0.01
151/A/NBP/2019,2019-08-06,4.6879,-0.29
150/A/NBP/2019,2019-08-05,4.7014,-0.08
149/A/NBP/2019,2019-08-02,4.7051,-0.04
148/A/NBP/2019,2019-08-01,4.7071,0.55
147/A/NBP/2019,2019-07-31,4.6813,-0.07
146/A/NBP/2019,2019-07-30,4.6846,-1.16
145/A/NBP/2019,2019-07-29,4.7394,-0.51
144/A/NBP/2019,2019-07-26,4.7637,-0.01
143/A/NBP/2019,2019-07-25,4.7643,-0.01
142/A/NBP/2019,2019-07-24,4.7648,0.9
141/A/NBP/2019,2019-07-23,4.7224,0.04
140/A/NBP/2019,2019-07-22,4.7205,-0.35
139/A/NBP/2019,2019-07-19,4.7372,0.07
138/A/NBP/2019,2019-07-18,4.7341,0.35
137/A/NBP/2019,2019-07-17,4.7175,-0.08
136/A/NBP/2019,2019-07-16,4.7214,-0.63
135/A/NBP/2019,2019-07-15,4.7515,0
134/A/NBP/2019,2019-07-12,4.7513,0.13
133/A/NBP/2019,2019-07-11,4.7453,-0.12
132/A/NBP/2019,2019-07-10,4.7508,0.07
131/A/NBP/2019,2019-07-09,4.7475,0.06
130/A/NBP/2019,2019-07-08,4.7446,0.27
129/A/NBP/2019,2019-07-05,4.7319,-0.01
128/A/NBP/2019,2019-07-04,4.7323,0.06
127/A/NBP/2019,2019-07-03,4.7294,-0.29
126/A/NBP/2019,2019-07-02,4.7433,0.23
125/A/NBP/2019,2019-07-01,4.7323,-0.02
124/A/NBP/2019,2019-06-28,4.7331,-0.4
123/A/NBP/2019,2019-06-27,4.752,-0.11
122/A/NBP/2019,2019-06-26,4.7573,-0.27
121/A/NBP/2019,2019-06-25,4.7704,0.31
120/A/NBP/2019,2019-06-24,4.7558,-0.5
119/A/NBP/2019,2019-06-21,4.7799,-0.19
118/A/NBP/2019,2019-06-19,4.7888,0.32
117/A/NBP/2019,2019-06-18,4.7736,-0.18
116/A/NBP/2019,2019-06-17,4.7821,0.1
115/A/NBP/2019,2019-06-14,4.7771,-0.07
114/A/NBP/2019,2019-06-13,4.7804,-0.31
113/A/NBP/2019,2019-06-12,4.7954,0.03
112/A/NBP/2019,2019-06-11,4.7939,0.09
111/A/NBP/2019,2019-06-10,4.7897,-0.77
110/A/NBP/2019,2019-06-07,4.827,-0.01
109/A/NBP/2019,2019-06-06,4.8274,0.11
108/A/NBP/2019,2019-06-05,4.8221,0.16
107/A/NBP/2019,2019-06-04,4.8144,-0.55
106/A/NBP/2019,2019-06-03,4.841,-0.33
105/A/NBP/2019,2019-05-31,4.8572,-0.21
104/A/NBP/2019,2019-05-30,4.8672,-0.15
103/A/NBP/2019,2019-05-29,4.8744,0.21
102/A/NBP/2019,2019-05-28,4.8641,-0.24
101/A/NBP/2019,2019-05-27,4.8759,-0.02
100/A/NBP/2019,2019-05-24,4.8768,-0.17
99/A/NBP/2019,2019-05-23,4.8852,-0.11
98/A/NBP/2019,2019-05-22,4.8906,-0.27
97/A/NBP/2019,2019-05-21,4.9038,-0.16
96/A/NBP/2019,2019-05-20,4.9117,-0.32
95/A/NBP/2019,2019-05-17,4.9273,0.33
94/A/NBP/2019,2019-05-16,4.9112,-1.11
93/A/NBP/2019,2019-05-15,4.9661,0.06
92/A/NBP/2019,2019-05-14,4.9631,-0.42
91/A/NBP/2019,2019-05-13,4.984,0.19
90/A/NBP/2019,2019-05-10,4.9745,-0.31
89/A/NBP/2019,2019-05-09,4.9898,-0.17
88/A/NBP/2019,2019-05-08,4.9984,-0.28
87/A/NBP/2019,2019-05-07,5.0126,-0.19
86/A/NBP/2019,2019-05-06,5.0219,0.76
85/A/NBP/2019,2019-05-02,4.984,0.33
84/A/NBP/2019,2019-04-30,4.9677,-0.23
83/A/NBP/2019,2019-04-29,4.9794,0.17
82/A/NBP/2019,2019-04-26,4.9709,0.08
81/A/NBP/2019,2019-04-25,4.9669,0.44
80/A/NBP/2019,2019-04-24,4.9452,-0.14
79/A/NBP/2019,2019-04-23,4.9522,0.09
78/A/NBP/2019,2019-04-19,4.9479,-0.01
77/A/NBP/2019,2019-04-18,4.9483,0.44
76/A/NBP/2019,2019-04-17,4.9265,-0.43
75/A/NBP/2019,2019-04-16,4.9476,-0.04
74/A/NBP/2019,2019-04-15,4.9497,-0.03
73/A/NBP/2019,2019-04-12,4.9514,-0.29
72/A/NBP/2019,2019-04-11,4.9656,-0.04
71/A/NBP/2019,2019-04-10,4.9678,-0.3
70/A/NBP/2019,2019-04-09,4.9827,-0.05
69/A/NBP/2019,2019-04-08,4.9854,-0.29
68/A/NBP/2019,2019-04-05,4.9998,-0.59
67/A/NBP/2019,2019-04-04,5.0297,-0.02
66/A/NBP/2019,2019-04-03,5.0309,0.45
65/A/NBP/2019,2019-04-02,5.0086,-0.01
64/A/NBP/2019,2019-04-01,5.009,0.26
63/A/NBP/2019,2019-03-29,4.996,-0.45
62/A/NBP/2019,2019-03-28,5.0187,-0.28
61/A/NBP/2019,2019-03-27,5.0329,0.4
60/A/NBP/2019,2019-03-26,5.0128,0.21
59/A/NBP/2019,2019-03-25,5.0024,0.65
58/A/NBP/2019,2019-03-22,4.97,0.4
57/A/NBP/2019,2019-03-21,4.9503,-0.9
56/A/NBP/2019,2019-03-20,4.9955,-0.47
55/A/NBP/2019,2019-03-19,5.019,-0.02
54/A/NBP/2019,2019-03-18,5.0199,-0.41
53/A/NBP/2019,2019-03-15,5.0406,0.02
52/A/NBP/2019,2019-03-14,5.0398,0.77
51/A/NBP/2019,2019-03-13,5.0013,-0.63
50/A/NBP/2019,2019-03-12,5.0332,1.52
49/A/NBP/2019,2019-03-11,4.9577,-1.38
48/A/NBP/2019,2019-03-08,5.0272,0.39
47/A/NBP/2019,2019-03-07,5.0077,0.13
46/A/NBP/2019,2019-03-06,5.0014,-0.14
45/A/NBP/2019,2019-03-05,5.0082,-0.2
44/A/NBP/2019,2019-03-04,5.0183,-0.08
43/A/NBP/2019,2019-03-01,5.0223,-0.25
42/A/NBP/2019,2019-02-28,5.035,0.06
41/A/NBP/2019,2019-02-27,5.0321,0.12
40/A/NBP/2019,2019-02-26,5.0259,0.47
39/A/NBP/2019,2019-02-25,5.0025,0.48
38/A/NBP/2019,2019-02-22,4.9787,-0.36
37/A/NBP/2019,2019-02-21,4.9965,0.25
36/A/NBP/2019,2019-02-20,4.984,0.7
35/A/NBP/2019,2019-02-19,4.9495,0.12
34/A/NBP/2019,2019-02-18,4.9437,0.68
33/A/NBP/2019,2019-02-15,4.9104,-0.66
32/A/NBP/2019,2019-02-14,4.9429,0.26
31/A/NBP/2019,2019-02-13,4.9302,0
30/A/NBP/2019,2019-02-12,4.9303,0.05
29/A/NBP/2019,2019-02-11,4.9277,0.17
28/A/NBP/2019,2019-02-08,4.9192,0.51
27/A/NBP/2019,2019-02-07,4.8941,0.12
26/A/NBP/2019,2019-02-06,4.888,0.02
25/A/NBP/2019,2019-02-05,4.887,0
24/A/NBP/2019,2019-02-04,4.8868,0.58
23/A/NBP/2019,2019-02-01,4.8588,0
